"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"AKairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ALCO2 removal",0.00127991
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ALairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ARCO2 removal",0.00128268
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ARairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"AZCO2 removal",0.00137963
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"AZairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"CACO2 removal",0.00121198
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"CAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"COCO2 removal",0.00138098
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"COairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"CTCO2 removal",0.00107692
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"CTairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"DCCO2 removal",0.175135
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"DCairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"DECO2 removal",0.00118928
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"DEairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"FLCO2 removal",0.00129845
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"FLairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"GACO2 removal",0.00127991
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"GAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"HICO2 removal",0.305364
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"HIairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"IACO2 removal",0.00126605
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"IAairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"IDCO2 removal",0.00134457
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"IDairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ILCO2 removal",0.00122864
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"ILairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"INCO2 removal",0.00124094
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"INairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"KSCO2 removal",0.00137054
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"KSairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"KYCO2 removal",0.00124094
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"KYairCO2",-0.138965
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"LACO2 removal",0.00127972
"1975$/kg","crt2030_80p_nl_202502_onshoring",2040,"LAairCO2",-0.138965
